Attraction_name,lat,lon,description,,,,,,,,,,,,,,,,,,,,,,
Münchener Tierpark Hellabrunn,48.092495,11.550531,"Founded in 1911 and ranked one of the best zoos in Europe, the Tierpark Hellabrun uses its proximity to the river to provide freshwater for animals and to create moats around many animal enclosures instead of using cages.",,,,,,,,,,,,,,,,,,,,,,
Park Flaucher,48.107085,11.553007,"Very popular for summer swimming and sunbathing, as well as winter walks, this large park is an island on the river. It has a beergarden in an old hunting lodge.",,,,,,,,,,,,,,,,,,,,,,
Frühlingsanlagen,48.122539,11.568582,This park contains the city garden and a number of monuments and statues.,,,,,,,,,,,,,,,,,,,,,,
Weideninsel,48.123927,11.57045,A small island of willow trees serves as a protected area for birds and mammals during spring breeding season.,,,,,,,,,,,,,,,,,,,,,,
Wittelsbacherbrücke,48.122445,11.568147,"Named after the Bavarian royal family, this bridge is recognizeable by the large statue of Otto I on horseback.",,,,,,,,,,,,,,,,,,,,,,
Deutsches Museum,48.129273,11.58097,"Sitting on a large island, this is the largest museum in Munich and the largest museum of science and technology in the world.",,,,,,,,,,,,,,,,,,,,,,
Ludwigsbrücke ,48.131954,11.585516,"This bridge is one of the busiest crossings of the river in Munich. It is also historically notable, because in 1158 Henry der Löwe rerouted the salt trade to go over the Isar at this point. ",,,,,,,,,,,,,,,,,,,,,,
Großhesseloher Brücke,48.074567,11.541019,"This bridge built in the 1980s is for rail and pedestrain/bike traffic. The iconic first bridge here was finished in 1857. It was going to be blown up in 1945 to prevent Allied forces from entering Munich here, but the plan was foiled by someone disabling the explosives.",,,,,,,,,,,,,,,,,,,,,,
Der Isarflößer,48.083137,11.540871,"This statue of a rafter (person who builds rafts) was done in 1939 and is typical of National Socialist era monumental art. Even today, rafting is a popular activity on the Isar.",,,,,,,,,,,,,,,,,,,,,,
Burg Grünwald,48.043046,11.517084,"Now a museum, this medieval castle has been a prison, a hunting lodge, and a gunpowder magazine at different times in its history.",,,,,,,,,,,,,,,,,,,,,,
Grünwalder Brücke,48.044021,11.516828,"Connecting Grünwald and Pullach, this bridge is just south of a popular beach.",,,,,,,,,,,,,,,,,,,,,,
Wasserkraftwerk Pullach,48.053535,11.5233,This hydroelectric power plant built in 1904 provides 4 MW of power.,,,,,,,,,,,,,,,,,,,,,,
Bavaria Film,48.065932,11.542854,"One of the largest film production companies in Europe, this is site of film studios and a museum.",,,,,,,,,,,,,,,,,,,,,,
Isarwerk 2,48.106717,11.552266,This hydroelectric power plant finished in 1923 provides 2.5 MW of power.,,,,,,,,,,,,,,,,,,,,,,
Großmarkthalle München,48.115864,11.557791,"One of the largest markets for produce in Europe, this busy wholesale market handles fruits, vegetables, and flowers from all over the world. This neighborhood also has the slaughterhouses and collectively they are referred to as the ""belly of Munich.""",,,,,,,,,,,,,,,,,,,,,,
St. Maximilian Kirche,48.126167,11.573622,"Finished in 1908, this Romanesque Revival church facing the river is a Roman Catholic parish church. ",,,,,,,,,,,,,,,,,,,,,,
Europäisches Patentamt,48.129561,11.580288,All patent applications in Europe are examined and decided here or in one of their other two offices. Next door is the German patent office.,,,,,,,,,,,,,,,,,,,,,,
Müller'sches Volksbad,48.132055,11.587291,"This elaborate Art Nouveau indoor swimming and bathing complex opened in 1901. Karl Müller, a wealthy engineer, donated the money to have it built as a public bath for the poor.",,,,,,,,,,,,,,,,,,,,,,
St. Lukas,48.134648,11.587765,"Built in the 1890s, this Lutheran parish church was the third protestant church established in Munich. It is the best preserved protestant church of historical Munich.",,,,,,,,,,,,,,,,,,,,,,
Maximilianeum,48.136307,11.592153,"King Maximillian II started this project for a gifted students organization. Since 1949, it is also the meeting place of the Bavarian state parliament. ",,,,,,,,,,,,,,,,,,,,,,
Maximiliansbrücke,48.137123,11.59012,This bridge connects the Maximillaneum to the Altstadt/Lehel district via Maximillianstraße.,,,,,,,,,,,,,,,,,,,,,,
Maximiliansanlagen,48.137923,11.593132,Part of Englischer Garten,,,,,,,,,,,,,,,,,,,,,,
Friedensdenkmal,48.14142,11.595494,It's impossible to miss this monument to peace after the Franco-German war: a shiny golden angel on a tall column rises above the trees. Below the column is a temple with large mosaics.,,,,,,,,,,,,,,,,,,,,,,
Monacensia ,48.143866,11.596464,"Housed in this building is the city library's special collection of all books, manuscripts, and archival material relating to Munich as well as the works of literary and artistic residents of the city.",,,,,,,,,,,,,,,,,,,,,,
Sankt Georg Kirche,48.148342,11.598127,"This old church is the center of the former village, now district, of Bogenhausen. It is famous for its cemetery, which is a popular burial site for artists.",,,,,,,,,,,,,,,,,,,,,,
Tivoli Kraftwerk,48.159215,11.607084,"Built in 1895, this historic water power plant was originally for a machinery, and later for a flour mill. Today is provides 0.9MW of power to the public grid.",,,,,,,,,,,,,,,,,,,,,,
Isarwehr,48.16904,11.615894,weir,,,,,,,,,,,,,,,,,,,,,,
Stauwehr Oberföhring,48.16821,11.616774,weir,,,,,,,,,,,,,,,,,,,,,,
Basispyramide Unterföhring,48.178803,11.625604,A pyramidal monument marks one of two reference points for the baseiine of the Bavarian topography survey of 1801. The other point is about 20km NE of here.,,,,,,,,,,,,,,,,,,,,,,
Freimann Mosque,48.206686,11.642596,"Built 1967-1973, this was the first mosque in Bavaria. ",,,,,,,,,,,,,,,,,,,,,,
Eisbachwelle,48.141887,11.594873,"Don't swim over here! You'll get violently swept under by the standing wave used for river surfing. No matter the weather, people will be here surfing.",,,,,,,,,,,,,,,,,,,,,,
Bayerisches Nationalmuseum,48.142056,11.594943,"Founded by Maximillian II in 1855, this large art museum houses decorative arts pieces, and the core of its collection is the Wittelsbach family collection.",,,,,,,,,,,,,,,,,,,,,,
Allianz Arena,48.218572,11.624467,"Iconic for its unusual plastic geometric construction, this arena built in 2002-2005 is the home of FC Bayern and can hold 75,000 people.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
