Date,Average [m^3/s]
1/1/16,23
1/2/16,22
1/3/16,28
1/4/16,34
1/5/16,30
1/6/16,26
1/7/16,23
1/8/16,24
1/9/16,36
1/10/16,49
1/11/16,43
1/12/16,51
1/13/16,56
1/14/16,34
1/15/16,29
1/16/16,28
1/17/16,24
1/18/16,23
1/19/16,24
1/20/16,25
1/21/16,23
1/22/16,25
1/23/16,25
1/24/16,23
1/25/16,23
1/26/16,25
1/27/16,33
1/28/16,40
1/29/16,49
1/30/16,54
1/31/16,59
2/1/16,196
2/2/16,215
2/3/16,124
2/4/16,86
2/5/16,69
2/6/16,62
2/7/16,53
2/8/16,47
2/9/16,45
2/10/16,51
2/11/16,53
2/12/16,51
2/13/16,44
2/14/16,38
2/15/16,35
2/16/16,36
2/17/16,36
2/18/16,36
2/19/16,36
2/20/16,35
2/21/16,66
2/22/16,103
2/23/16,96
2/24/16,76
2/25/16,62
2/26/16,58
2/27/16,46
2/28/16,36
2/29/16,37
3/1/16,42
3/2/16,40
3/3/16,60
3/4/16,56
3/5/16,53
3/6/16,56
3/7/16,54
3/8/16,45
3/9/16,37
3/10/16,32
3/11/16,31
3/12/16,36
3/13/16,29
3/14/16,25
3/15/16,29
3/16/16,31
3/17/16,27
3/18/16,22
3/19/16,23
3/20/16,21
3/21/16,21
3/22/16,22
3/23/16,20
3/24/16,20
3/25/16,18
3/26/16,45
3/27/16,47
3/28/16,38
3/29/16,36
3/30/16,39
3/31/16,41
4/1/16,50
4/2/16,52
4/3/16,45
4/4/16,42
4/5/16,44
4/6/16,46
4/7/16,45
4/8/16,43
4/9/16,42
4/10/16,39
4/11/16,33
4/12/16,34
4/13/16,43
4/14/16,54
4/15/16,46
4/16/16,38
4/17/16,33
4/18/16,70
4/19/16,89
4/20/16,77
4/21/16,63
4/22/16,57
4/23/16,49
4/24/16,52
4/25/16,50
4/26/16,58
4/27/16,65
4/28/16,60
4/29/16,54
4/30/16,52
5/1/16,49
5/2/16,65
5/3/16,81
5/4/16,91
5/5/16,76
5/6/16,69
5/7/16,61
5/8/16,56
5/9/16,56
5/10/16,60
5/11/16,54
5/12/16,55
5/13/16,74
5/14/16,140
5/15/16,166
5/16/16,123
5/17/16,120
5/18/16,111
5/19/16,93
5/20/16,114
5/21/16,106
5/22/16,87
5/23/16,79
5/24/16,153
5/25/16,184
5/26/16,113
5/27/16,87
5/28/16,88
5/29/16,91
5/30/16,86
5/31/16,107
6/1/16,125
6/2/16,118
6/3/16,103
6/4/16,112
6/5/16,161
6/6/16,145
6/7/16,103
6/8/16,99
6/9/16,169
6/10/16,253
6/11/16,189
6/12/16,152
6/13/16,117
6/14/16,114
6/15/16,113
6/16/16,119
6/17/16,154
6/18/16,174
6/19/16,191
6/20/16,236
6/21/16,204
6/22/16,168
6/23/16,115
6/24/16,99
6/25/16,88
6/26/16,107
6/27/16,124
6/28/16,138
6/29/16,112
6/30/16,101
7/1/16,119
7/2/16,118
7/3/16,129
7/4/16,115
7/5/16,100
7/6/16,84
7/7/16,73
7/8/16,68
7/9/16,57
7/10/16,50
7/11/16,54
7/12/16,101
7/13/16,178
7/14/16,222
7/15/16,245
7/16/16,185
7/17/16,134
7/18/16,106
7/19/16,110
7/20/16,92
7/21/16,81
7/22/16,85
7/23/16,84
7/24/16,97
7/25/16,118
7/26/16,117
7/27/16,104
7/28/16,103
7/29/16,85
7/30/16,81
7/31/16,79
8/1/16,98
8/2/16,102
8/3/16,88
8/4/16,78
8/5/16,146
8/6/16,285
8/7/16,198
8/8/16,171
8/9/16,169
8/10/16,207
8/11/16,176
8/12/16,149
8/13/16,127
8/14/16,95
8/15/16,81
8/16/16,80
8/17/16,82
8/18/16,86
8/19/16,90
8/20/16,74
8/21/16,85
8/22/16,77
8/23/16,66
8/24/16,56
8/25/16,54
8/26/16,54
8/27/16,47
8/28/16,37
8/29/16,45
8/30/16,50
8/31/16,51
9/1/16,56
9/2/16,58
9/3/16,43
9/4/16,35
9/5/16,40
9/6/16,44
9/7/16,43
9/8/16,40
9/9/16,43
9/10/16,42
9/11/16,35
9/12/16,34
9/13/16,40
9/14/16,42
9/15/16,37
9/16/16,35
9/17/16,65
9/18/16,87
9/19/16,142
9/20/16,170
9/21/16,106
9/22/16,78
9/23/16,69
9/24/16,62
9/25/16,49
9/26/16,45
9/27/16,45
9/28/16,47
9/29/16,45
9/30/16,37
10/1/16,37
10/2/16,28
10/3/16,28
10/4/16,25
10/5/16,25
10/6/16,29
10/7/16,35
10/8/16,33
10/9/16,25
10/10/16,23
10/11/16,24
10/12/16,22
10/13/16,22
10/14/16,23
10/15/16,21
10/16/16,22
10/17/16,22
10/18/16,24
10/19/16,25
10/20/16,23
10/21/16,21
10/22/16,25
10/23/16,24
10/24/16,23
10/25/16,22
10/26/16,36
10/27/16,36
10/28/16,28
10/29/16,23
10/30/16,21
10/31/16,21
11/1/16,21
11/2/16,21
11/3/16,23
11/4/16,27
11/5/16,23
11/6/16,28
11/7/16,42
11/8/16,35
11/9/16,30
11/10/16,26
11/11/16,27
11/12/16,33
11/13/16,28
11/14/16,23
11/15/16,24
11/16/16,29
11/17/16,68
11/18/16,69
11/19/16,61
11/20/16,47
11/21/16,42
11/22/16,35
11/23/16,32
11/24/16,33
11/25/16,32
11/26/16,28
11/27/16,26
11/28/16,23
11/29/16,25
11/30/16,25
12/1/16,22
12/2/16,21
12/3/16,21
12/4/16,21
12/5/16,20
12/6/16,21
12/7/16,26
12/8/16,24
12/9/16,21
12/10/16,19
12/11/16,20
12/12/16,21
12/13/16,21
12/14/16,21
12/15/16,22
12/16/16,22
12/17/16,21
12/18/16,20
12/19/16,20
12/20/16,20
12/21/16,21
12/22/16,22
12/23/16,19
12/24/16,19
12/25/16,20
12/26/16,20
12/27/16,21
12/28/16,20
12/29/16,20
12/30/16,21
12/31/16,21